name,type,length_m,start_lon,start_lat,end_lon,end_lat
Tagbilaran Street,residential,58,121.047351,14.659636,121.047155,14.659147
Naga Street,residential,133,121.047351,14.659636,121.048499,14.659185
Naga Street,residential,58,121.047351,14.659636,121.046849,14.659825
Naga Street,residential,133,121.048499,14.659185,121.047351,14.659636
Cotabato Street,residential,58,121.048499,14.659185,121.048294,14.6587
Cotabato Street,residential,46,121.048499,14.659185,121.048685,14.659562
Naga Street,residential,186,121.048499,14.659185,121.050074,14.658496
Zamboanga Street,residential,42,121.050074,14.658496,121.050299,14.658806
Naga Street,residential,186,121.050074,14.658496,121.048499,14.659185
Zamboanga Street,residential,199,121.050074,14.658496,121.049108,14.656974
Zamboanga Street,residential,36,121.050766,14.659434,121.05057,14.659177
Zamboanga Street,residential,42,121.050299,14.658806,121.050074,14.658496
Zamboanga Street,residential,51,121.050299,14.658806,121.05057,14.659177
Legazpi Street,residential,193,121.050299,14.658806,121.048703,14.659596
Zamboanga Street,residential,199,121.049108,14.656974,121.050074,14.658496
Cotabato Street,residential,46,121.048685,14.659562,121.048499,14.659185
Cotabato Street,residential,4,121.048685,14.659562,121.048703,14.659596
Legazpi Street,residential,138,121.048685,14.659562,121.047498,14.660021
Tagbilaran Street,residential,58,121.047498,14.660021,121.047667,14.660516
Tagbilaran Street,residential,46,121.047498,14.660021,121.047351,14.659636
Legazpi Street,residential,138,121.047498,14.660021,121.048685,14.659562
Road 10,residential,53,121.044467,14.658598,121.04493,14.658748
Road 3,tertiary,57,121.043689,14.660697,121.043796,14.660193
Road 3,tertiary,138,121.043689,14.660697,121.04341,14.661904
Cotabato Street,residential,8,121.049166,14.660497,121.049196,14.660566
Cotabato Street,residential,62,121.049166,14.660497,121.048912,14.659993
Dumaguete Street,residential,105,121.049166,14.660497,121.050001,14.660004
Maginhawa Street,tertiary,223,121.061534,14.637083,121.061375,14.639086
Makadios Street,residential,145,121.061534,14.637083,121.062884,14.637155
Maginhawa Street,tertiary,89,121.061534,14.637083,121.061275,14.636351
Mahiyain Street,residential,118,121.060226,14.63793,121.060135,14.638988
Evangelista Street,residential,59,121.064115,14.63631,121.064249,14.635794
Maginhawa Street,tertiary,89,121.061275,14.636351,121.061534,14.637083
Mahiyain Street,residential,65,121.060261,14.637344,121.060226,14.63793
Mahiyain Street,residential,64,121.060299,14.636773,121.060261,14.637344
"Matimtiman Street, Maamo Street",residential,293,121.060299,14.636773,121.060706,14.639033
Road 1,residential,123,121.070029,14.662923,121.069928,14.664024
Vic Valley Street,residential,9,121.071974,14.664311,121.071983,14.664226
Unnamed Pathway,primary_link,79,121.071974,14.664311,121.072662,14.664077
Road 2,residential,127,121.070747,14.663089,121.070612,14.664221
Tandang Sora Avenue,residential,77,121.070612,14.664221,121.069928,14.664024
Road 2,residential,127,121.070612,14.664221,121.070747,14.663089
Tandang Sora Avenue,residential,72,121.070612,14.664221,121.071254,14.664407
Maayusin Street,residential,62,121.057611,14.648885,121.057521,14.649435
Marilag Street,residential,35,121.056299,14.651672,121.056153,14.651395
Marilag Street,residential,76,121.056299,14.651672,121.05699,14.651768
Maalindog Street,residential,285,121.057521,14.649435,121.057288,14.650947
Maayusin Street,residential,170,121.057521,14.649435,121.057288,14.650947
Malinis Street,residential,63,121.055571,14.650967,121.054987,14.651009
Maalindog Street,residential,285,121.057288,14.650947,121.057521,14.649435
Maayusin Street,residential,89,121.057288,14.650947,121.056984,14.651678
Maayusin Street,residential,10,121.05699,14.651768,121.056984,14.651678
Maayusin Extension,residential,36,121.05699,14.651768,121.057007,14.652092
Marilag Street,residential,8,121.05699,14.651768,121.057067,14.651755
Marilag Street,residential,76,121.05699,14.651768,121.056299,14.651672
Pansol Avenue,residential,115,121.075632,14.648653,121.074874,14.647926
Pansol Avenue,residential,14,121.075632,14.648653,121.075727,14.648574
Mines Street,residential,35,121.046149,14.659451,121.045866,14.659607
Mines Street,residential,172,121.046149,14.659451,121.046764,14.658047
Dipolog Street,residential,66,121.046149,14.659451,121.046382,14.660003
Alley 18,residential,60,121.043333,14.661691,121.042782,14.661762
Road 9,residential,25,121.043333,14.661691,121.04341,14.661904
Road 9,residential,70,121.043333,14.661691,121.043155,14.661093
Dipolog Street,residential,51,121.046962,14.661428,121.046786,14.661004
Tacloban Street,residential,166,121.046962,14.661428,121.045465,14.66175
Tacloban Street,residential,106,121.046962,14.661428,121.047898,14.661149
"Tagbilaran Street, Tagbilaran Extension",residential,136,121.047333,14.661843,121.047898,14.661149
Road 9,residential,70,121.043155,14.661093,121.043333,14.661691
Forestry Street,residential,92,121.045623,14.659607,121.045374,14.660397
Forestry Street,residential,204,121.045623,14.659607,121.046182,14.65785
Mines Street,residential,27,121.045623,14.659607,121.045866,14.659607
Tagbilaran Street,residential,75,121.047667,14.660516,121.047898,14.661149
Tagbilaran Street,residential,58,121.047667,14.660516,121.047498,14.660021
Cebu Street,residential,146,121.047667,14.660516,121.048912,14.659993
Lands Street,residential,44,121.046764,14.658047,121.04715,14.658178
Lands Street,residential,66,121.046764,14.658047,121.046182,14.65785
Mines Street,residential,172,121.046764,14.658047,121.046149,14.659451
Zamboanga Street,residential,51,121.05057,14.659177,121.050299,14.658806
Zamboanga Street,residential,36,121.05057,14.659177,121.050766,14.659434
Cebu Street,residential,200,121.05057,14.659177,121.048912,14.659993
Forestry Street,residential,97,121.045118,14.660859,121.044419,14.661277
Forestry Street,residential,59,121.045118,14.660859,121.045374,14.660397
Forestry Street Extension,residential,11,121.045118,14.660859,121.045214,14.6609
Road 3,tertiary,66,121.043796,14.660193,121.043925,14.65961
Road 3,tertiary,57,121.043796,14.660193,121.043689,14.660697
Cotabato Street,residential,49,121.048912,14.659993,121.048703,14.659596
Cotabato Street,residential,62,121.048912,14.659993,121.049166,14.660497
Cebu Street,residential,146,121.048912,14.659993,121.047667,14.660516
Cebu Street,residential,200,121.048912,14.659993,121.05057,14.659177
Roxas Street,residential,140,121.04733,14.660993,121.046849,14.659825
Naga Street,residential,58,121.046849,14.659825,121.047351,14.659636
Naga Street,residential,54,121.046849,14.659825,121.046382,14.660003
Roxas Street,residential,140,121.046849,14.659825,121.04733,14.660993
Road 3,tertiary,44,121.043319,14.662293,121.04341,14.661904
Ylanan Street,unclassified,239,121.064843,14.658988,121.064342,14.66101
Ylanan Street,unclassified,157,121.064843,14.658988,121.0648,14.657577
Emilio Jacinto Street,unclassified,221,121.062353,14.656944,121.062334,14.654957
Emilio Jacinto Street,unclassified,83,121.062353,14.656944,121.062361,14.65769
R. P. de Guzman Street,unclassified,135,121.062353,14.656944,121.061102,14.656945
R. P. de Guzman Street,unclassified,82,121.061102,14.656945,121.061094,14.657679
R. P. de Guzman Street,unclassified,34,121.061102,14.656945,121.060783,14.656936
R. P. de Guzman Street,unclassified,135,121.061102,14.656945,121.062353,14.656944
R. P. de Guzman Street,unclassified,82,121.061094,14.657679,121.061102,14.656945
Magsaysay Avenue,unclassified,136,121.061094,14.657679,121.062361,14.65769
Magsaysay Avenue,unclassified,145,121.061094,14.657679,121.059941,14.658079
Carlos P. Garcia Avenue,secondary,22,121.060085,14.647397,121.060241,14.647266
Carlos P. Garcia Avenue,secondary,432,121.060085,14.647397,121.059136,14.651137
Unnamed Pathway,secondary_link,34,121.060085,14.647397,121.060131,14.647103
Katipunan Avenue,primary,42,121.074303,14.648054,121.074296,14.647677
Makadios Street,residential,16,121.062884,14.637155,121.06303,14.637151
Unnamed Pathway,unclassified,18,121.062884,14.637155,121.062876,14.637314
Makadios Street,residential,145,121.062884,14.637155,121.061534,14.637083
Katipunan Avenue,primary,10,121.074513,14.653509,121.074517,14.653599
H. Ventura Street,tertiary,156,121.074513,14.653509,121.075955,14.653383
Carlos P. Garcia Avenue,secondary,137,121.073122,14.648255,121.074303,14.648054
Carlos P. Garcia Avenue,secondary,307,121.073122,14.648255,121.070519,14.647278
Carlos P. Garcia Avenue,secondary,10,121.064384,14.64768,121.06429,14.64769
Carlos P. Garcia Avenue,secondary,29,121.064384,14.64768,121.064655,14.647683
B. Baluyot Street,residential,75,121.064384,14.64768,121.063822,14.647306
Carlos P. Garcia Avenue,secondary,17,121.074308,14.648335,121.07415,14.648335
Katipunan Avenue,primary,6,121.074308,14.648335,121.074307,14.64828
Emilio Jacinto Street,unclassified,105,121.063862,14.658992,121.064843,14.658988
Unnamed Pathway,unclassified,113,121.063862,14.658992,121.064531,14.658624
A. Maria Regidor Street,unclassified,17,121.07266,14.653933,121.072773,14.653833
M. Roxas Avenue,tertiary,21,121.07266,14.653933,121.072824,14.654024
A. Roces Senior Avenue,residential,12,121.068522,14.660129,121.068521,14.660237
P. Valenzuela Street,residential,158,121.068522,14.660129,121.067052,14.660122
A. Roces Senior Avenue,residential,51,121.068522,14.660129,121.068536,14.659674
Xavierville Avenue,secondary,33,121.064249,14.635794,121.063944,14.635737
Xavierville Avenue,secondary,65,121.064249,14.635794,121.064816,14.636007
Evangelista Street,residential,59,121.064249,14.635794,121.064115,14.63631
Lakandula Street,unclassified,73,121.065169,14.65303,121.064495,14.653014
T. M. Kalaw Street,unclassified,241,121.065169,14.65303,121.067004,14.651801
E. de los Santos Street,unclassified,380,121.065169,14.65303,121.066821,14.650377
E. de los Santos Street,unclassified,76,121.065169,14.65303,121.06487,14.65365
"DANR Street, Lands Street",residential,13,121.045387,14.65757,121.045498,14.657618
A. Maria Regidor Street,unclassified,113,121.07283,14.652558,121.0728,14.653571
A. Maria Regidor Street,unclassified,166,121.07283,14.652558,121.072011,14.651414
Quirino Avenue,unclassified,141,121.07283,14.652558,121.07414,14.652584
Quirino Avenue,unclassified,122,121.07283,14.652558,121.071692,14.652534
Balagtas Street,residential,50,121.067094,14.659671,121.067052,14.660122
Balagtas Street,residential,46,121.067094,14.659671,121.067099,14.659255
Jose Paciano Laurel Street,residential,155,121.068536,14.659674,121.067094,14.659671
A. Roces Senior Avenue,residential,51,121.068536,14.659674,121.068522,14.660129
A. Roces Senior Avenue,residential,29,121.068536,14.659674,121.068544,14.659417
Daan Tubo,residential,365,121.07428,14.647055,121.071789,14.644979
Katipunan Avenue,primary,81,121.07428,14.647055,121.074297,14.646332
Commonwealth Avenue,primary,58,121.051969,14.653285,121.051468,14.653117
Unnamed Pathway,primary_link,30,121.051969,14.653285,121.052111,14.653053
Commonwealth Avenue,primary,801,121.064338,14.661509,121.058196,14.657443
Makadios Street,residential,16,121.06303,14.637151,121.062884,14.637155
Makadios Street,residential,41,121.06303,14.637151,121.063413,14.637116
V. Luna Road Extension,residential,219,121.06303,14.637151,121.061275,14.636351
Mapagkumbaba Street,residential,119,121.064382,14.63998,121.063576,14.639264
Mapagkumbaba Street,residential,565,121.064382,14.63998,121.064382,14.63998
Maayusin Extension,residential,29,121.056976,14.652455,121.056939,14.652715
Lourdes Street,residential,133,121.056976,14.652455,121.055748,14.652327
Maayusin Extension,residential,41,121.056976,14.652455,121.057007,14.652092
Maginhawa Street,tertiary,47,121.056153,14.651395,121.055758,14.651579
Visayas Avenue,secondary,141,121.044313,14.661735,121.044027,14.662972
Fisheries Street,tertiary,12,121.0442,14.661711,121.044313,14.661735
Visayas Avenue,secondary,222,121.0442,14.661711,121.044643,14.659759
Forestry Street,residential,97,121.044419,14.661277,121.045118,14.660859
Visayas Avenue,secondary,21,121.044419,14.661277,121.044376,14.661465
Saint Joseph Street,residential,93,121.059753,14.662765,121.059749,14.661924
Saint Joseph Street,residential,77,121.059753,14.662765,121.059741,14.663462
Redeemer Road,unclassified,81,121.059753,14.662765,121.059005,14.662749
"Redeemer Street, Redeemer Road",unclassified,202,121.059753,14.662765,121.060933,14.663629
Central Avenue,secondary,210,121.053393,14.662075,121.051439,14.662109
Central Avenue,secondary,160,121.053393,14.662075,121.05488,14.662043
Forestside Villas Street,residential,7,121.053393,14.662075,121.053396,14.66214
Tacloban Street,residential,166,121.045465,14.66175,121.046962,14.661428
Central Avenue,secondary,89,121.045465,14.66175,121.044653,14.661582
Central Avenue,secondary,649,121.045465,14.66175,121.051439,14.662109
Lourdes Street,residential,133,121.055748,14.652327,121.056976,14.652455
Unnamed Pathway,residential,102,121.056002,14.653314,121.055167,14.652876
Unnamed Pathway,residential,88,121.056002,14.653314,121.056613,14.653657
Unnamed Pathway,residential,75,121.056002,14.653314,121.055687,14.653914
Unnamed Pathway,residential,73,121.056287,14.65421,121.055687,14.653914
Unnamed Pathway,residential,127,121.053947,14.652677,121.054981,14.653225
Unnamed Pathway,residential,73,121.055687,14.653914,121.056287,14.65421
Unnamed Pathway,residential,103,121.055687,14.653914,121.054853,14.653467
Unnamed Pathway,residential,75,121.055687,14.653914,121.056002,14.653314
Unnamed Pathway,residential,30,121.055293,14.65264,121.055167,14.652876
Unnamed Pathway,residential,30,121.054853,14.653467,121.054981,14.653225
Unnamed Pathway,residential,48,121.054853,14.653467,121.054648,14.653852
Unnamed Pathway,residential,103,121.054853,14.653467,121.055687,14.653914
Kalaw Hill,residential,5,121.066627,14.663347,121.066653,14.663311
Unnamed Pathway,residential,38,121.074718,14.658964,121.074806,14.659293
Dagohoy Street,residential,28,121.073991,14.659545,121.073994,14.659295
Dagohoy Street,residential,32,121.073991,14.659545,121.07399,14.659837
Dagohoy Street,residential,31,121.07399,14.660119,121.07399,14.659837
Dagohoy Street,residential,30,121.07399,14.660119,121.074012,14.660392
Fatima Street,residential,54,121.075376,14.660337,121.074877,14.660331
Unnamed Pathway,residential,30,121.074852,14.659548,121.07488,14.659817
Unnamed Pathway,residential,29,121.074852,14.659548,121.074806,14.659293
Santo Niño Street,residential,93,121.074852,14.659548,121.073991,14.659545
Santo Niño Street,residential,51,121.074852,14.659548,121.075324,14.659539
Unnamed Pathway,residential,22,121.074887,14.660135,121.074877,14.660331
Unnamed Pathway,residential,7,121.074887,14.660135,121.074888,14.660071
Kristong Hari Street,residential,97,121.074887,14.660135,121.07399,14.660119
Plaza Street,residential,20,121.07706,14.65123,121.077211,14.651132
Santo Niño Street,residential,51,121.075324,14.659539,121.074852,14.659548
Unnamed Pathway,residential,21,121.074872,14.6604,121.074848,14.660591
Unnamed Pathway,residential,8,121.074872,14.6604,121.074877,14.660331
Fatima Street,residential,92,121.074872,14.6604,121.074012,14.660392
Dagohoy Street,residential,30,121.074012,14.660392,121.07399,14.660119
Unnamed Pathway,residential,7,121.074888,14.660071,121.074887,14.660135
Unnamed Pathway,residential,26,121.074888,14.660071,121.074882,14.65984
Kristong Hari Street,residential,64,121.074888,14.660071,121.07548,14.660067
Plaza Street,residential,18,121.07782,14.65061,121.077701,14.650723
Pansol Avenue,residential,62,121.077701,14.650723,121.077297,14.650325
Plaza Street,residential,70,121.077701,14.650723,121.077211,14.651132
Saint Francis Street,residential,81,121.075634,14.659811,121.07488,14.659817
Kristong Hari Street,residential,64,121.07548,14.660067,121.074888,14.660071
Unnamed Pathway,residential,8,121.074877,14.660331,121.074872,14.6604
Unnamed Pathway,residential,22,121.074877,14.660331,121.074887,14.660135
Fatima Street,residential,54,121.074877,14.660331,121.075376,14.660337
Saint Joseph Street,residential,77,121.059741,14.663462,121.059753,14.662765
Saint Peter Street,unclassified,131,121.059741,14.663462,121.060933,14.663629
Redeemer Road,unclassified,81,121.059005,14.662749,121.059753,14.662765
Saint Mary Street,residential,41,121.059005,14.662749,121.05898,14.662381
Redeemer Road,unclassified,63,121.059005,14.662749,121.058478,14.662579
"Redeemer Street, Redeemer Road",unclassified,202,121.060933,14.663629,121.059753,14.662765
Saint Peter Street,unclassified,131,121.060933,14.663629,121.059741,14.663462
San Agustin Street,residential,32,121.053705,14.663625,121.053494,14.663418
"L. Abenojar Street, San Agustin Street",residential,317,121.053705,14.663625,121.05488,14.662043
Commonwealth Avenue,primary,73,121.064887,14.661894,121.064338,14.661509
Central Avenue,secondary,75,121.064887,14.661894,121.0642,14.661837
Saddlebrook Street,residential,18,121.076503,14.660155,121.07662,14.660039
Unnamed Pathway,residential,124,121.051473,14.654904,121.052434,14.65454
Unnamed Pathway,primary_link,95,121.074539,14.654311,121.074249,14.654668
Katipunan Avenue,primary,152,121.074539,14.654311,121.074561,14.655671
Katipunan Avenue,primary,211,121.074561,14.655671,121.074514,14.65757
Katipunan Avenue,primary,40,121.074236,14.655023,121.074249,14.654668
Unnamed Pathway,primary_link,111,121.074236,14.655023,121.074561,14.655671
Katipunan Avenue,primary,120,121.074249,14.654668,121.074282,14.65359
Commonwealth Avenue,primary,445,121.05768,14.657127,121.054227,14.654916
Maayusin Extension,residential,106,121.056932,14.653657,121.056939,14.652715
S. Flores Street,residential,22,121.063119,14.641521,121.06301,14.641686
Kabalitang Street,residential,114,121.063119,14.641521,121.062253,14.641113
S. Flores Street,residential,61,121.063119,14.641521,121.06343,14.641068
Antipolo Street,residential,61,121.062253,14.641113,121.062292,14.640569
Kabalitang Street,residential,114,121.062253,14.641113,121.063119,14.641521
Kabalitang Street,residential,78,121.062253,14.641113,121.061623,14.64124
Angeles Street,residential,124,121.061411,14.644896,121.06252,14.6452
"Eugenio Street, Kabalitang Street",residential,185,121.061411,14.644896,121.061635,14.645927
Kabalitang Street,residential,65,121.061411,14.644896,121.061449,14.644314
Madasalin Street,residential,47,121.061185,14.64122,121.061623,14.64124
Madasalin Street,residential,69,121.061185,14.64122,121.06054,14.641177
Maginhawa Street,tertiary,238,121.061185,14.64122,121.061375,14.639086
Maginhawa Street,tertiary,196,121.061185,14.64122,121.06106,14.64298
Eugenio Street,residential,79,121.061775,14.645233,121.061635,14.645927
Kabalitang Street,residential,25,121.061625,14.641468,121.061623,14.64124
Kabalitang Street,residential,258,121.061625,14.641468,121.061507,14.643769
Tiburcio Street Extension,residential,72,121.061625,14.641468,121.062179,14.64167
Madasalin Street,residential,47,121.061623,14.64124,121.061185,14.64122
Kabalitang Street,residential,25,121.061623,14.64124,121.061625,14.641468
Kabalitang Street,residential,78,121.061623,14.64124,121.062253,14.641113
Tiburcio Street Extension,residential,72,121.062179,14.64167,121.061625,14.641468
P. Francisco Street,residential,14,121.063127,14.644338,121.062999,14.644342
Tiburcio Street,residential,98,121.063127,14.644338,121.062816,14.643573
Saddlebrook Street,residential,8,121.07667,14.659987,121.07662,14.660039
Mactan Street,unclassified,103,121.07667,14.659987,121.077479,14.660431
A. Maria Regidor Street,unclassified,166,121.072011,14.651414,121.07283,14.652558
Magsaysay Avenue,unclassified,31,121.074514,14.65757,121.074224,14.657565
Tandang Sora Avenue,primary,322,121.074514,14.65757,121.076274,14.659773
Juan Luna Street,residential,78,121.071763,14.662893,121.072471,14.663049
Juan Luna Street,residential,56,121.071763,14.662893,121.071264,14.662835
Gomburza Street,residential,78,121.071763,14.662893,121.071994,14.662245
E. de los Reyes Street,unclassified,63,121.064348,14.64914,121.064326,14.648575
E. de los Reyes Street,unclassified,118,121.064348,14.64914,121.064388,14.650203
White House Street,residential,115,121.064348,14.64914,121.063283,14.649075
Emilio Jacinto Street,unclassified,97,121.062323,14.649605,121.062321,14.648734
Emilio Jacinto Street,unclassified,66,121.062323,14.649605,121.062324,14.6502
Plaza Hernandez Street,residential,120,121.062323,14.649605,121.063283,14.649075
E. de los Reyes Street,unclassified,63,121.064326,14.648575,121.064348,14.64914
Plaza Hernandez Street,residential,43,121.064326,14.648575,121.063933,14.64864
E. de los Reyes Street,unclassified,98,121.064326,14.648575,121.06429,14.64769
Plaza Hernandez Street,residential,85,121.063283,14.649075,121.063933,14.64864
Plaza Hernandez Street,residential,120,121.063283,14.649075,121.062323,14.649605
White House Street,residential,115,121.063283,14.649075,121.064348,14.64914
Plaza Hernandez Street,residential,43,121.063933,14.64864,121.064326,14.648575
Plaza Hernandez Street,residential,85,121.063933,14.64864,121.063283,14.649075
Unnamed Pathway,residential,77,121.063933,14.64864,121.063517,14.648112
Mabini Street,residential,71,121.073529,14.660867,121.073304,14.661423
Plaza Street Extension,residential,66,121.077211,14.651132,121.076875,14.650637
Plaza Street,residential,20,121.077211,14.651132,121.07706,14.65123
Unnamed Pathway,unclassified,18,121.062876,14.637314,121.062884,14.637155
Osmeña Avenue,tertiary,220,121.070634,14.656143,121.068592,14.656126
Unnamed Pathway,residential,102,121.055167,14.652876,121.056002,14.653314
Unnamed Pathway,residential,30,121.055167,14.652876,121.055293,14.65264
Unnamed Pathway,residential,44,121.055167,14.652876,121.054981,14.653225
Unnamed Pathway,residential,72,121.055167,14.652876,121.054631,14.652499
Mahabagin Street,residential,62,121.060322,14.644248,121.059747,14.644204
Matimtiman Street,residential,146,121.060322,14.644248,121.06041,14.642938
Mahabagin Street,residential,70,121.060322,14.644248,121.060973,14.644281
Maginhawa Street,tertiary,145,121.060973,14.644281,121.06106,14.64298
Maginhawa Street,tertiary,136,121.060973,14.644281,121.060878,14.645501
A. Roces Senior Avenue,residential,26,121.068645,14.661763,121.068628,14.661532
E. Aguinaldo Street,residential,149,121.068645,14.661763,121.070034,14.661802
A. Roces Senior Avenue,residential,69,121.068645,14.661763,121.068656,14.662379
Daan Tubo,residential,365,121.071789,14.644979,121.07428,14.647055
Unnamed Pathway,primary_link,93,121.072224,14.664474,121.071439,14.66482
Unnamed Pathway,primary_link,68,121.070857,14.664789,121.071455,14.664587
Tandang Sora Avenue,primary,5,121.074367,14.663175,121.074335,14.66321
Commonwealth Avenue,primary,202,121.066431,14.66292,121.064887,14.661894
Central Avenue,secondary,479,121.0642,14.661837,121.059749,14.661924
Central Avenue,secondary,52,121.0642,14.661837,121.064338,14.661509
Arboretum Road,unclassified,39,121.052886,14.658293,121.052658,14.658083
Arboretum Road,unclassified,183,121.052886,14.658293,121.053776,14.659055
Unnamed Pathway,unclassified,11,121.052886,14.658293,121.05289,14.658391
Arboretum Road,unclassified,118,121.052101,14.660366,121.053119,14.659974
Arboretum Road,unclassified,302,121.052101,14.660366,121.04952,14.661401
Unnamed Pathway,unclassified,38,121.052101,14.660366,121.05216,14.660699
Arboretum Road,residential,58,121.052332,14.658476,121.052658,14.658083
Arboretum Road,residential,220,121.052658,14.658083,121.052832,14.656497
Arboretum Road,unclassified,39,121.052658,14.658083,121.052886,14.658293
Arboretum Road,residential,58,121.052658,14.658083,121.052332,14.658476
Mactan Street,unclassified,19,121.076115,14.659698,121.076274,14.659773
Tandang Sora Avenue,primary,324,121.076115,14.659698,121.074224,14.657565
Unnamed Pathway,residential,148,121.070519,14.647278,121.07072,14.646035
Carlos P. Garcia Avenue,secondary,307,121.070519,14.647278,121.073122,14.648255
Carlos P. Garcia Avenue,secondary,167,121.070519,14.647278,121.068968,14.647203
Mactan Street,unclassified,19,121.076274,14.659773,121.076115,14.659698
Mactan Street,unclassified,39,121.076274,14.659773,121.076579,14.659957
Tandang Sora Avenue,primary,300,121.076274,14.659773,121.075102,14.662222
Commonwealth Avenue,primary,431,121.064342,14.66101,121.067662,14.663178
Ylanan Street,unclassified,239,121.064342,14.66101,121.064843,14.658988
Eugenio Street,residential,58,121.061635,14.645927,121.062164,14.646037
Eugenio Street,residential,79,121.061635,14.645927,121.061775,14.645233
"Eugenio Street, Kabalitang Street",residential,185,121.061635,14.645927,121.061411,14.644896
V. Francisco Street,residential,101,121.062164,14.646037,121.06252,14.6452
Eugenio Street,residential,58,121.062164,14.646037,121.061635,14.645927
S. Salvador Street,residential,63,121.062829,14.646356,121.06269,14.646903
I. Francisco Alley,residential,80,121.062829,14.646356,121.062111,14.646181
V. Francisco Street,residential,17,121.062111,14.646181,121.062164,14.646037
I. Francisco Alley,residential,80,121.062111,14.646181,121.062829,14.646356
P. Francisco Street,residential,51,121.061449,14.644314,121.060973,14.644281
Kabalitang Street,residential,65,121.061449,14.644314,121.061411,14.644896
Kabalitang Street,residential,61,121.061449,14.644314,121.061507,14.643769
Ylanan Street,unclassified,147,121.064773,14.656259,121.0648,14.657577
V. Manansala Street,residential,281,121.064655,14.647683,121.064566,14.645155
Carlos P. Garcia Avenue,secondary,41,121.064655,14.647683,121.065029,14.647727
Carlos P. Garcia Avenue,secondary,29,121.064655,14.647683,121.064384,14.64768
Maginhawa Street,tertiary,95,121.054408,14.651739,121.053534,14.651652
Mayaman Street,residential,173,121.054408,14.651739,121.054206,14.650192
Maginhawa Street,tertiary,70,121.054408,14.651739,121.05506,14.651678
Saint Joseph Street,residential,93,121.059749,14.661924,121.059753,14.662765
Central Avenue,secondary,69,121.059749,14.661924,121.05911,14.661937
Central Avenue,secondary,479,121.059749,14.661924,121.0642,14.661837
Magsaysay Avenue,unclassified,122,121.072738,14.657556,121.071606,14.657553
Magsaysay Avenue,unclassified,146,121.072738,14.657556,121.074099,14.657563
F. Ma. Guerrero Street,unclassified,210,121.072738,14.657556,121.072717,14.659448
Maayusin Street,residential,10,121.056984,14.651678,121.05699,14.651768
Visayas Avenue,secondary,16,121.044346,14.661593,121.044313,14.661735
Africa Street,unclassified,153,121.071692,14.652534,121.07166,14.653913
Quirino Avenue,unclassified,328,121.071692,14.652534,121.068644,14.652492
Quirino Avenue,unclassified,122,121.071692,14.652534,121.07283,14.652558
Carlos P. Garcia Avenue,secondary,162,121.060838,14.64713,121.062323,14.647342
Carlos P. Garcia Avenue,secondary,38,121.060838,14.64713,121.060485,14.647174
Unnamed Pathway,tertiary_link,18,121.061565,14.654944,121.061572,14.654785
University Avenue,tertiary,338,121.061565,14.654944,121.058421,14.654892
Pardo de Tavera Street,unclassified,305,121.065984,14.647984,121.066821,14.650377
Carlos P. Garcia Avenue,secondary,220,121.065984,14.647984,121.067873,14.647265
Carlos P. Garcia Avenue,secondary,22,121.065984,14.647984,121.065781,14.647959
M. Roxas Avenue,tertiary,108,121.07166,14.653913,121.07266,14.653933
Dahlia Street,residential,23,121.052636,14.653904,121.052606,14.653702
Dahlia Street,residential,75,121.052636,14.653904,121.052434,14.65454
Commonwealth Avenue,primary,83,121.052606,14.653702,121.051969,14.653285
Commonwealth Avenue,primary,56,121.052111,14.653053,121.052559,14.65331
Unnamed Pathway,primary_link,30,121.052111,14.653053,121.051969,14.653285
Commonwealth Avenue,primary,66,121.058196,14.657443,121.05768,14.657127
Unnamed Pathway,primary_link,135,121.058196,14.657443,121.058954,14.657416
Tandang Sora Avenue,residential,22,121.071254,14.664407,121.071455,14.664443
Tandang Sora Avenue,residential,72,121.071254,14.664407,121.070612,14.664221
Road 31,residential,6,121.071254,14.664407,121.071256,14.664352
Forestry Street Extension,residential,15,121.045893,14.659737,121.045866,14.659607
Unnamed Pathway,tertiary,14,121.075948,14.653496,121.075955,14.653383
H. Ventura Street,tertiary,155,121.075948,14.653496,121.074517,14.653599
Unnamed Pathway,tertiary,10,121.076094,14.65345,121.076043,14.653517
H. Ventura Street,tertiary,39,121.076045,14.65337,121.076392,14.653277
Unnamed Pathway,tertiary,11,121.076045,14.65337,121.076094,14.65345
Unnamed Pathway,tertiary,10,121.075955,14.653383,121.076045,14.65337
Unnamed Pathway,tertiary,11,121.076043,14.653517,121.075948,14.653496
H. Ventura Street,tertiary,93,121.076392,14.653277,121.077215,14.653032
L. Wood Street,residential,7,121.076392,14.653277,121.076416,14.653338
Unnamed Pathway,residential,127,121.054981,14.653225,121.053947,14.652677
Unnamed Pathway,residential,44,121.054981,14.653225,121.055167,14.652876
Unnamed Pathway,residential,30,121.054981,14.653225,121.054853,14.653467
Lucena Street,residential,62,121.046612,14.659325,121.047155,14.659147
Soils Street,residential,20,121.045657,14.66064,121.04566,14.66046
Soils Street,residential,32,121.04566,14.66046,121.045374,14.660397
Soils Street,residential,20,121.04566,14.66046,121.045657,14.66064
Soils Street,residential,18,121.04566,14.66046,121.045755,14.66033
Forestry Street,residential,92,121.045374,14.660397,121.045623,14.659607
Soils Street,residential,32,121.045374,14.660397,121.04566,14.66046
Forestry Street,residential,59,121.045374,14.660397,121.045118,14.660859
Quezon City Ville Street,residential,9,121.051439,14.662109,121.051441,14.662192
